"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.861563119E2,6.074089527E0,1.719994545E1,1.077151299E1
2.861663217E2,9.825803757E0,1.702995682E1,1.260068321E1
2.861763010E2,1.341471195E1,1.566286755E1,1.406832886E1
2.861863106E2,1.619437981E1,1.346499062E1,1.454477501E1
2.861963205E2,1.983835602E1,1.162145519E1,1.294305420E1
2.862062998E2,2.487814903E1,1.012747288E1,9.409213066E0
2.862163094E2,3.075112724E1,9.394847870E0,5.324704647E0
2.862263193E2,3.534081268E1,9.646238327E0,2.580949545E0
2.862362986E2,3.993289185E1,1.028070164E1,4.668693244E-1
2.862463084E2,4.384262085E1,1.038844109E1,-1.735796213E0
2.862563180E2,4.384262085E1,1.055842972E1,-4.278438568E0
2.862662973E2,4.156094742E1,8.140285492E0,-8.042123795E0
2.862763072E2,3.829764938E1,6.483498096E0,-9.813833237E0
2.862863168E2,3.638468170E1,5.719748020E0,-9.895236015E0
2.862962961E2,3.330574036E1,3.708618402E0,-9.926360130E0
2.863063060E2,2.682942390E1,1.168370485E0,-9.186552048E0
2.863163156E2,2.019269753E1,-8.810662031E-1,-7.874529362E0
2.863263254E2,1.458308220E1,-1.912967205E0,-4.812345505E0
2.863363047E2,1.191354752E1,-2.535459518E0,-1.338358760E0
2.863463143E2,9.569623947E0,-3.284844637E0,1.271321058E0
2.863563242E2,7.103596210E0,-4.077325344E0,3.471592426E0
2.863663035E2,5.085284233E0,-4.845864296E0,5.068524837E0
2.863763131E2,4.319139957E0,-5.724536419E0,6.069301128E0
2.863863230E2,4.132391930E0,-6.624756336E0,6.066906929E0
2.863963023E2,4.256890774E0,-8.022970200E0,5.181052685E0
2.864063119E2,3.349488258E0,-9.344569206E0,4.192247391E0
2.864163217E2,2.547430515E0,-1.050096893E1,3.394978046E0
2.864263010E2,1.941697598E0,-1.130302620E1,3.129221678E0
2.864363106E2,1.130063176E0,-1.182496262E1,2.755726099E0
2.864463205E2,5.003881454E-1,-1.275870132E1,1.472434044E0
2.864562998E2,-4.381389022E-1,-1.381693840E1,-4.860229492E-1
2.864663094E2,-1.721431017E0,-1.463575459E1,-2.200271368E0
2.864763193E2,-3.641580820E0,-1.563174248E1,-3.871424198E0
2.864862986E2,-5.686229229E0,-1.667082596E1,-4.656722069E0
2.864963084E2,-6.598419666E0,-1.750879669E1,-4.534617901E0
2.865063180E2,-7.055712223E0,-1.796608925E1,-4.055777550E0
2.865162973E2,-6.239289761E0,-1.807861710E1,-3.790021181E0
2.865263072E2,-2.188300371E0,-1.770990944E1,-3.323152065E0
2.865363168E2,2.319981337E0,-1.697010231E1,-2.592920542E0
2.865462961E2,6.684611320E0,-1.610579491E1,-1.651999116E0
