"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.422456623E0,-6.095637321E0,-1.076193619E1,-1.577778935E0
3.432435931E0,-5.135562420E0,-1.010353088E1,-1.168370485E0
3.442445546E0,-4.608838081E0,-9.904812813E0,-9.481038451E-1
3.452455316E0,-4.041412354E0,-9.943120003E0,-8.307880163E-1
3.462434469E0,-3.268085241E0,-9.940725327E0,-9.504981041E-1
3.472444316E0,-2.489969730E0,-9.737217903E0,-1.053448796E0
3.482454162E0,-2.466027737E0,-9.600749016E0,-1.070208192E0
3.492433239E0,-2.908955097E0,-9.607931137E0,-1.134851575E0
3.502443085E0,-3.629609823E0,-9.497797966E0,-1.240196466E0
3.512452854E0,-4.692635536E0,-9.279925346E0,-1.503558636E0
3.522462700E0,-5.652710438E0,-9.109937668E0,-2.008735180E0
3.532441854E0,-6.445190907E0,-9.114726067E0,-2.782062292E0
3.542451700E0,-7.005434036E0,-9.191340446E0,-3.744531393E0
3.552461470E0,-7.058106422E0,-9.296685219E0,-4.539406300E0
3.562440624E0,-6.706159115E0,-9.418789864E0,-5.054159641E0
3.572450470E0,-6.093243122E0,-9.409213066E0,-5.245696068E0
3.582460239E0,-5.468356609E0,-9.181763649E0,-5.118803024E0
3.592439393E0,-4.857835293E0,-8.700529099E0,-4.716577530E0
3.602449239E0,-4.244919777E0,-8.032546997E0,-4.161122322E0
3.612459008E0,-3.883395195E0,-7.223306656E0,-3.531447411E0
3.622438162E0,-3.897760391E0,-6.540958881E0,-2.873042107E0
3.632448008E0,-4.070142746E0,-5.896918774E0,-2.458845139E0
3.642457778E0,-4.398148537E0,-5.315127850E0,-2.121262789E0
3.652436931E0,-5.032611847E0,-4.982333660E0,-2.126051188E0
3.662446778E0,-5.853823185E0,-4.620809078E0,-2.255337954E0
3.672456624E0,-6.682217121E0,-4.288015366E0,-2.537853718E0
3.682435932E0,-7.374141216E0,-3.998316765E0,-2.949656487E0
3.692445547E0,-7.690176010E0,-3.823540211E0,-3.337517262E0
3.702455316E0,-7.718906403E0,-3.967192173E0,-3.605667830E0
3.712434470E0,-7.627926826E0,-4.237737179E0,-3.914519787E0
3.722444316E0,-7.618350029E0,-4.764461517E0,-4.299986362E0
3.732454162E0,-7.460332394E0,-5.351040840E0,-4.479551315E0
3.742433239E0,-7.429207802E0,-5.959167957E0,-4.558559895E0
3.752443086E0,-7.884106159E0,-6.600813866E0,-4.587290287E0
3.762452932E0,-8.394071579E0,-6.912060261E0,-4.304774761E0
3.772462701E0,-8.880094528E0,-6.880935669E0,-3.928884983E0
3.782441855E0,-9.404424667E0,-6.746860504E0,-3.624821424E0
3.792451701E0,-9.591172218E0,-6.509834290E0,-3.335123062E0
3.802461470E0,-9.849745750E0,-6.373364925E0,-3.213018656E0
3.812440624E0,-1.019451046E1,-6.143521786E0,-3.155557871E0
3.822450470E0,-1.065898609E1,-5.937620163E0,-3.191470861E0
3.832460240E0,-1.104684639E1,-5.736507416E0,-3.244143248E0
3.842439393E0,-1.151611042E1,-5.619191170E0,-3.387795448E0
3.852449240E0,-1.195424938E1,-5.738901615E0,-3.725377798E0
3.862459009E0,-1.225113010E1,-6.045359135E0,-4.127603531E0
3.872438163E0,-1.255279922E1,-6.488286495E0,-4.644751072E0
3.882448009E0,-1.249294472E1,-6.792350292E0,-5.068524837E0
3.892457778E0,-1.231337929E1,-7.139509678E0,-5.602431774E0
3.902437163E0,-1.235647488E1,-7.630321026E0,-6.110002518E0
3.912446778E0,-1.220563984E1,-7.716512203E0,-6.208165169E0
3.922456547E0,-1.162624359E1,-7.472303391E0,-5.882553577E0
3.932435701E0,-1.129105568E1,-7.304709435E0,-5.549759388E0
3.942445548E0,-1.102529907E1,-7.321468830E0,-4.848258495E0
3.952455394E0,-1.088643551E1,-7.560888767E0,-3.809175014E0
3.962434471E0,-1.050815105E1,-7.773972988E0,-2.770091295E0
3.972444317E0,-9.947908401E0,-7.879317760E0,-2.200271368E0
3.982454163E0,-9.380482674E0,-7.931990147E0,-1.951274395E0
