"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.136443848E0,2.142915249E0,-8.221024513E0,5.522832870E0
1.146443771E0,2.296853304E0,-8.043873787E0,6.625444412E0
1.156433079E0,2.430022001E0,-6.359107018E0,7.062212944E0
1.166463463E0,1.875356317E0,-3.594331026E0,7.065878391E0
1.176421925E0,2.755002379E-1,-9.615018964E-1,6.544199467E0
1.186452463E0,-2.053729057E0,9.737191796E-1,5.255884647E0
1.196441387E0,-4.398840427E0,2.378709316E0,3.385415077E0
1.206443233E0,-6.257703781E0,3.043941498E0,1.536326051E0
1.216430540E0,-7.472103596E0,3.255300999E0,1.087340117E-1
1.226462925E0,-8.057923317E0,3.262631178E0,-7.831292152E-1
1.236419541E0,-7.476990700E0,3.246748686E0,-1.081842303E0
1.246452771E0,-6.516710281E0,3.047606707E0,-1.307251573E0
1.256439156E0,-5.021312237E0,2.646268129E0,-1.536936998E0
1.266441618E0,-3.192381859E0,2.138028383E0,-1.858252048E0
1.276428156E0,-1.191187263E0,1.496619821E0,-2.172847748E0
1.286460694E0,6.847799420E-1,9.407324791E-1,-2.475225925E0
1.296447541E0,2.144747972E0,5.955936313E-1,-2.868012428E0
1.306449695E0,3.100141048E0,8.570439219E-1,-3.112969398E0
1.316436695E0,3.515529394E0,1.678657651E0,-3.317609072E0
1.326471233E0,3.499646902E0,2.625498772E0,-3.516751289E0
1.336425925E0,3.296228886E0,3.479488373E0,-3.676797867E0
1.346456079E0,3.092199802E0,4.075693130E0,-3.789808035E0
1.356445079E0,2.988352776E0,4.458705425E0,-3.814853430E0
1.366479233E0,3.043941498E0,4.550946236E0,-3.826459885E0
1.376434233E0,3.273015976E0,4.740925312E0,-3.754377842E0
1.386466618E0,3.714060783E0,4.780631542E0,-3.616933107E0
1.396423233E0,4.459927082E0,4.356690884E0,-3.551570654E0
1.406455541E0,5.351790428E0,3.539964199E0,-3.676797867E0
1.416442849E0,6.002972603E0,2.632218361E0,-3.917478800E0
1.426442618E0,6.178902149E0,1.885130167E0,-3.938248158E0
1.436431849E0,5.780617714E0,1.577254057E0,-3.685961008E0
1.446461003E0,5.246721745E0,1.841758728E0,-3.514307737E0
1.456420156E0,4.566828728E0,2.122145891E0,-3.356704473E0
1.466450541E0,3.836844683E0,2.307848930E0,-3.192381859E0
1.476439772E0,3.117245436E0,2.598620653E0,-2.992017984E0
1.486439464E0,2.407419920E0,2.850297213E0,-2.772717237E0
1.496428772E0,1.784948230E0,2.926044464E0,-2.480112791E0
1.506461080E0,1.331686258E0,2.768441200E0,-2.067778826E0
1.516418003E0,1.067792416E0,2.502714872E0,-1.642005801E0
1.526450234E0,9.615018964E-1,2.154521704E0,-1.272432327E0
1.536437310E0,9.743300676E-1,1.773341775E0,-9.651671052E-1
1.546470310E0,1.045190454E0,1.450804949E0,-7.067710757E-1
1.556426849E0,1.138652802E0,1.120937705E0,-5.009095073E-1
1.566460080E0,1.244943380E0,7.318165898E-1,-3.164281845E-1
1.576446541E0,1.297477722E0,3.439171314E-1,-1.105666086E-1
1.586448388E0,1.265101910E0,5.131268129E-2,9.224065393E-2
1.596435464E0,1.142318010E0,-4.825835302E-2,3.017674387E-1
1.606467849E0,9.309586287E-1,-1.404990070E-2,4.673119187E-1
1.616424388E0,6.261368990E-1,-6.719517708E-2,5.711590052E-1
1.626457388E0,2.895501256E-1,-2.290744632E-1,6.805039048E-1
1.636444080E0,-6.841690838E-2,-5.247332454E-1,8.509352803E-1
1.646446618E0,-4.618141353E-1,-1.072679400E0,1.136820197E0
1.656433003E0,-9.028588533E-1,-1.728748679E0,1.547321677E0
1.666466234E0,-1.342681766E0,-2.312124968E0,1.970040441E0
1.676421926E0,-1.703092337E0,-2.715906858E0,2.319455385E0
1.686454311E0,-1.961488247E0,-2.921157598E0,2.530203819E0
1.696441619E0,-2.107485056E0,-2.922379255E0,2.560136318E0
1.706443465E0,-2.221106052E0,-2.926044464E0,2.528371334E0
1.716430542E0,-2.455067396E0,-3.085480452E0,2.621222734E0
1.726460696E0,-3.339600325E0,-3.802636147E0,3.393967390E0
1.736419542E0,-3.886935472E0,-4.530787468E0,4.243070126E0
1.746449926E0,-3.845396757E0,-5.294980049E0,5.225952148E0
1.756439157E0,-3.092199802E0,-5.841704369E0,5.999307632E0
1.766439157E0,-1.827097893E0,-5.700594425E0,6.192951679E0
1.776428080E0,-5.607742667E-1,-4.904636860E0,5.834373951E0
1.786458542E0,2.174680233E-1,-3.797749281E0,5.164254665E0
1.796447542E0,2.296853364E-1,-2.833803892E0,4.364632130E0
1.806449619E0,-5.644394755E-1,-2.153300047E0,3.657860994E0
1.816436696E0,-1.894293070E0,-1.612073421E0,3.183829546E0
1.826469311E0,-3.287065983E0,-1.025642753E0,2.775160789E0
1.836425619E0,-4.354858398E0,-4.379903674E-1,2.274862289E0
1.846458004E0,-4.907080650E0,-8.002334833E-2,1.769676566E0
1.856445080E0,-4.842939854E0,-1.594358236E-1,1.389718413E0
1.866446927E0,-4.174042225E0,-5.332853794E-1,1.168585181E0
1.876434311E0,-3.157562494E0,-1.018312335E0,1.033583999E0
1.886466542E0,-2.171015024E0,-1.517389297E0,9.236282706E-1
1.896423157E0,-1.484402537E0,-1.841758728E0,8.155050874E-1
1.906453388E0,-1.159422278E0,-1.895514846E0,7.134906054E-1
1.916442619E0,-1.150870085E0,-1.721418262E0,6.053674817E-1
1.926442927E0,-1.384831548E0,-1.404379249E0,4.624249935E-1
