"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.542524003E0,-1.315803766E0,-1.324966669E0,7.116580009E-1
1.552554696E0,-1.183856845E0,-1.407433510E0,1.040914416E0
1.562512926E0,-1.050077319E0,-1.453248382E0,1.371392488E0
1.572543619E0,-9.535606503E-1,-1.423926830E0,1.685988069E0
1.582532542E0,-8.729264140E-1,-1.363451242E0,1.997529387E0
1.592532850E0,-7.977899909E-1,-1.310305953E0,2.290744781E0
1.602521465E0,-7.195992470E-1,-1.263880134E0,2.532647371E0
1.612584927E0,-6.285803318E-1,-1.208902359E0,2.709187269E0
1.622510465E0,-5.082398653E-1,-1.156978726E0,2.830749512E0
1.632543311E0,-3.585779071E-1,-1.105055213E0,2.911383867E0
1.642530081E0,-1.808161139E-1,-1.005484223E0,2.954144239E0
1.652532619E0,2.932153270E-2,-8.814785480E-1,3.003624439E0
1.662519081E0,2.474004179E-1,-7.568620443E-1,3.099530220E0
1.672552004E0,4.825835526E-1,-6.530149579E-1,3.255300999E0
1.682508004E0,6.487388611E-1,-1.826487035E-1,3.413515091E0
1.692540927E0,8.765916228E-1,1.722639948E-1,3.438560486E0
1.702527619E0,1.116661668E0,3.365867436E-1,3.396410704E0
1.712530081E0,1.350012183E0,6.707300544E-1,3.392745495E0
1.722516619E0,1.554041147E0,9.443976879E-1,3.375641346E0
1.732549542E0,1.682933807E0,1.034194827E0,3.316387415E0
1.742505773E0,1.761735320E0,1.019534111E0,3.251024723E0
1.752536312E0,1.788002610E0,1.202182770E0,3.188716650E0
1.762525158E0,1.806328535E0,1.582751870E0,3.081204414E0
1.772556004E0,1.890017033E0,1.865582466E0,2.915659904E0
1.782514158E0,2.023796558E0,1.924836397E0,2.714074373E0
1.792544927E0,2.144136906E0,1.889406204E0,2.475225925E0
1.802533773E0,2.184454203E0,1.759291887E0,2.001805305E0
1.812533850E0,2.132530689E0,1.683544636E0,1.625512362E0
1.822522773E0,2.078163624E0,1.544878244E0,1.207680583E0
1.832553235E0,2.034181356E0,1.320690632E0,7.654141784E-1
1.842511696E0,1.965764403E0,1.044579625E0,3.451388776E-1
