"Time (s)","Illuminance (lx)"
2.026198299E2,7.000000000E0
2.064198209E2,8.000000000E0
2.066198884E2,7.000000000E0
2.066597865E2,8.000000000E0
2.067798151E2,7.000000000E0
2.087407529E2,8.000000000E0
2.088998873E2,7.000000000E0
2.092205092E2,8.000000000E0
2.093800960E2,7.000000000E0
2.144198462E2,6.000000000E0
2.157399108E2,7.000000000E0
2.160199117E2,6.000000000E0
2.162598649E2,7.000000000E0
2.162999191E2,6.000000000E0
2.163398729E2,7.000000000E0
2.164205268E2,6.000000000E0
2.164998773E2,7.000000000E0
2.165398918E2,6.000000000E0
2.175004612E2,7.000000000E0
2.175402154E2,6.000000000E0
2.184202064E2,7.000000000E0
2.196603639E2,6.000000000E0
2.197808953E2,7.000000000E0
2.198603772E2,6.000000000E0
2.199801837E2,7.000000000E0
2.327405449E2,6.000000000E0
2.328998301E2,7.000000000E0
2.329400220E2,6.000000000E0
2.330198876E2,7.000000000E0
2.331398100E2,6.000000000E0
2.335400657E2,7.000000000E0
2.338998346E2,6.000000000E0
2.341400612E2,7.000000000E0
2.344205144E2,6.000000000E0
2.349400300E2,7.000000000E0
2.350198510E2,6.000000000E0
2.353806746E2,7.000000000E0
2.354198203E2,6.000000000E0
2.359800418E2,7.000000000E0
2.362198356E2,6.000000000E0
2.362598541E2,7.000000000E0
2.364598596E2,6.000000000E0
2.365398547E2,7.000000000E0
2.367398365E2,6.000000000E0
2.373008162E2,7.000000000E0
2.373399267E2,6.000000000E0
2.382605818E2,7.000000000E0
2.383400759E2,6.000000000E0
2.384599192E2,7.000000000E0
2.458999030E2,8.000000000E0
2.460599203E2,7.000000000E0
2.569002896E2,6.000000000E0
2.569404997E2,7.000000000E0
2.577398814E2,6.000000000E0
2.580599039E2,7.000000000E0
2.582198749E2,6.000000000E0
2.586198869E2,7.000000000E0
2.603800463E2,6.000000000E0
2.613401024E2,7.000000000E0
2.648599489E2,8.000000000E0
2.651406553E2,7.000000000E0
2.654599775E2,8.000000000E0
2.657399988E2,7.000000000E0
2.667399717E2,6.000000000E0
2.668999483E2,7.000000000E0
2.671401560E2,6.000000000E0
2.678198762E2,7.000000000E0
2.678601065E2,6.000000000E0
2.679798766E2,7.000000000E0
2.689805585E2,6.000000000E0
2.710198939E2,7.000000000E0
2.743798538E2,8.000000000E0
2.744598535E2,7.000000000E0
2.746198673E2,8.000000000E0
2.748598791E2,7.000000000E0
2.751398615E2,8.000000000E0
2.752205582E2,7.000000000E0
2.761398809E2,8.000000000E0
2.761805861E2,7.000000000E0
2.778998910E2,8.000000000E0
2.780199120E2,7.000000000E0
2.790198858E2,8.000000000E0
2.792200274E2,7.000000000E0
2.867803230E2,6.000000000E0
2.868203291E2,7.000000000E0
2.868603224E2,6.000000000E0
2.877009940E2,7.000000000E0
2.988198683E2,8.000000000E0
2.988598714E2,7.000000000E0
3.068198400E2,6.000000000E0
3.069005496E2,7.000000000E0
3.070198896E2,6.000000000E0
3.070998723E2,7.000000000E0
3.185803063E2,6.000000000E0
3.187005569E2,7.000000000E0
3.187403126E2,6.000000000E0
3.193403507E2,7.000000000E0
3.195404707E2,6.000000000E0
3.195803030E2,7.000000000E0
3.197802935E2,6.000000000E0
3.198612203E2,7.000000000E0
3.314598744E2,6.000000000E0
3.315398670E2,7.000000000E0
3.609798656E2,6.000000000E0
3.610202148E2,7.000000000E0
3.630998499E2,6.000000000E0
3.631798910E2,7.000000000E0
3.633798430E2,6.000000000E0
3.634199557E2,7.000000000E0
3.634598504E2,6.000000000E0
3.740202793E2,7.000000000E0
3.743002971E2,6.000000000E0
3.745809916E2,7.000000000E0
3.746602741E2,6.000000000E0
3.749802854E2,7.000000000E0
3.751404528E2,6.000000000E0
3.772209248E2,7.000000000E0
3.774203226E2,6.000000000E0
3.777405051E2,7.000000000E0
3.778602815E2,6.000000000E0
3.782998255E2,7.000000000E0
3.783797626E2,6.000000000E0
3.789004642E2,7.000000000E0
3.790997732E2,6.000000000E0
3.802597803E2,7.000000000E0
3.805397883E2,6.000000000E0
3.823797688E2,7.000000000E0
3.824199532E2,6.000000000E0
3.825005200E2,7.000000000E0
3.834608113E2,6.000000000E0
3.835799012E2,7.000000000E0
3.840199071E2,6.000000000E0
3.854600563E2,7.000000000E0
3.865808018E2,6.000000000E0
3.875798812E2,7.000000000E0
3.876199390E2,6.000000000E0
3.877806173E2,7.000000000E0
3.881000117E2,6.000000000E0
3.884598822E2,7.000000000E0
3.897401506E2,6.000000000E0
3.897798754E2,7.000000000E0
3.898198917E2,6.000000000E0
3.900600899E2,7.000000000E0
3.904998936E2,6.000000000E0
3.907798767E2,7.000000000E0
3.908598825E2,6.000000000E0
3.909400816E2,7.000000000E0
3.917798646E2,6.000000000E0
3.919000920E2,7.000000000E0
3.919798677E2,6.000000000E0
3.920598576E2,7.000000000E0
3.924198533E2,6.000000000E0
3.925398503E2,7.000000000E0
3.931003012E2,6.000000000E0
3.932602568E2,7.000000000E0
3.933009362E2,6.000000000E0
3.933402725E2,7.000000000E0
3.935002666E2,6.000000000E0
3.936202519E2,7.000000000E0
3.937002723E2,6.000000000E0
3.937809731E2,7.000000000E0
3.946203153E2,6.000000000E0
3.949402540E2,7.000000000E0
3.949809372E2,6.000000000E0
3.950602611E2,7.000000000E0
3.951402417E2,6.000000000E0
3.957402599E2,7.000000000E0
3.965802461E2,6.000000000E0
3.966609255E2,7.000000000E0
3.967802886E2,6.000000000E0
3.968202446E2,7.000000000E0
3.969402731E2,6.000000000E0
3.971002932E2,7.000000000E0
3.976209651E2,6.000000000E0
3.977802870E2,7.000000000E0
3.978609240E2,6.000000000E0
3.979002663E2,7.000000000E0
3.993005486E2,6.000000000E0
3.995798843E2,7.000000000E0
3.996599027E2,6.000000000E0
3.997398796E2,7.000000000E0
4.002605370E2,6.000000000E0
4.003798850E2,7.000000000E0
4.004198689E2,6.000000000E0
4.005398600E2,7.000000000E0
4.008198587E2,6.000000000E0
4.009398526E2,7.000000000E0
4.009805366E2,6.000000000E0
4.010999009E2,7.000000000E0
4.018198880E2,6.000000000E0
4.018999169E2,7.000000000E0
4.024205347E2,6.000000000E0
4.024598664E2,7.000000000E0
4.024998773E2,6.000000000E0
4.028198461E2,7.000000000E0
4.028598553E2,6.000000000E0
4.032198352E2,7.000000000E0
4.032998616E2,6.000000000E0
4.039398115E2,7.000000000E0
4.040599216E2,6.000000000E0
4.041798619E2,7.000000000E0
4.045398161E2,6.000000000E0
4.046998678E2,7.000000000E0
4.055405105E2,6.000000000E0
4.058598167E2,7.000000000E0
4.066198860E2,6.000000000E0
4.066598499E2,7.000000000E0
4.068198284E2,6.000000000E0
4.074198487E2,7.000000000E0
4.089398453E2,6.000000000E0
4.093805182E2,7.000000000E0
4.095798785E2,6.000000000E0
4.096205833E2,7.000000000E0
4.098604920E2,6.000000000E0
4.098999428E2,7.000000000E0
