"Time (s)","Illuminance (lx)"
5.167732807E2,2.200000000E1
5.168134776E2,2.300000000E1
5.168533109E2,2.500000000E1
5.168935158E2,2.600000000E1
5.170133354E2,2.400000000E1
5.170533234E2,1.900000000E1
5.170934783E2,1.300000000E1
5.171333246E2,7.000000000E0
5.171741954E2,3.000000000E0
5.172133453E2,1.000000000E0
5.173733401E2,3.000000000E0
5.174144256E2,7.000000000E0
5.174535638E2,1.200000000E1
5.174933105E2,1.700000000E1
5.175333410E2,2.000000000E1
5.175733333E2,2.200000000E1
5.177732970E2,2.000000000E1
5.178133123E2,1.800000000E1
5.178533044E2,1.600000000E1
5.178942315E2,1.400000000E1
5.179334456E2,1.200000000E1
5.179733102E2,1.100000000E1
5.180135126E2,1.000000000E1
5.180533490E2,8.000000000E0
5.180933502E2,7.000000000E0
5.181733577E2,6.000000000E0
5.182133111E2,5.000000000E0
5.183742591E2,6.000000000E0
5.184133149E2,7.000000000E0
5.184533487E2,9.000000000E0
5.184934825E2,1.100000000E1
5.185333038E2,1.200000000E1
5.185733363E2,1.300000000E1
5.186139970E2,1.500000000E1
5.186533509E2,1.600000000E1
5.186933400E2,1.700000000E1
5.188540940E2,1.600000000E1
5.188933280E2,1.400000000E1
5.189333053E2,1.300000000E1
5.189733684E2,1.200000000E1
5.190133410E2,1.100000000E1
5.192135102E2,1.200000000E1
5.192933265E2,1.300000000E1
5.193340872E2,1.500000000E1
5.193734577E2,1.700000000E1
5.194133253E2,1.900000000E1
5.194534702E2,2.000000000E1
5.196133884E2,1.900000000E1
5.196534398E2,1.700000000E1
5.196932979E2,1.400000000E1
5.197333210E2,1.300000000E1
5.197732647E2,1.100000000E1
5.198139502E2,1.000000000E1
5.198533311E2,9.000000000E0
5.200541760E2,1.000000000E1
5.200932900E2,1.300000000E1
5.201334484E2,1.600000000E1
5.201733223E2,2.100000000E1
5.202135020E2,2.400000000E1
5.202533490E2,2.700000000E1
5.202939853E2,2.900000000E1
5.203333963E2,3.100000000E1
5.203733146E2,3.300000000E1
5.204133192E2,3.400000000E1
5.204533985E2,3.600000000E1
5.204933025E2,3.900000000E1
5.205343217E2,4.100000000E1
5.206934712E2,3.800000000E1
5.207333137E2,3.200000000E1
5.207739672E2,2.500000000E1
5.208134616E2,1.800000000E1
5.208533170E2,1.400000000E1
5.208933278E2,1.200000000E1
5.209333263E2,1.100000000E1
5.209735274E2,9.000000000E0
5.210933231E2,1.000000000E1
5.211333210E2,1.200000000E1
5.211734527E2,1.500000000E1
5.212133259E2,2.000000000E1
5.212539800E2,2.200000000E1
5.212933231E2,2.500000000E1
5.213733275E2,2.600000000E1
5.215334548E2,2.500000000E1
5.215733590E2,2.300000000E1
5.216133357E2,2.000000000E1
5.216533495E2,1.700000000E1
5.216933610E2,1.400000000E1
5.217342436E2,1.100000000E1
5.217733191E2,8.000000000E0
5.218134806E2,6.000000000E0
5.218533560E2,5.000000000E0
5.218934970E2,4.000000000E0
5.220933086E2,8.000000000E0
5.221333335E2,1.300000000E1
5.221734772E2,1.700000000E1
5.222142086E2,2.100000000E1
5.224541397E2,2.300000000E1
5.224934170E2,3.000000000E1
5.225333030E2,3.500000000E1
5.225733090E2,3.900000000E1
5.227333400E2,3.000000000E1
5.227734416E2,2.000000000E1
5.228134458E2,1.200000000E1
5.228533310E2,6.000000000E0
5.228933369E2,5.000000000E0
5.230534606E2,6.000000000E0
5.230933763E2,7.000000000E0
5.231333194E2,8.000000000E0
5.231740105E2,9.000000000E0
5.232133046E2,1.100000000E1
5.232534434E2,1.300000000E1
5.234933033E2,1.100000000E1
5.235333194E2,1.000000000E1
5.235734710E2,9.000000000E0
5.236133381E2,7.000000000E0
5.237734673E2,8.000000000E0
5.238133323E2,9.000000000E0
5.238533175E2,1.000000000E1
5.238943142E2,1.200000000E1
5.239333150E2,1.300000000E1
5.239733187E2,1.400000000E1
5.240535206E2,1.500000000E1
5.240933127E2,1.700000000E1
5.241733431E2,1.800000000E1
5.242132935E2,2.000000000E1
5.242533357E2,2.200000000E1
5.242933437E2,2.300000000E1
5.243334136E2,2.600000000E1
5.243741037E2,2.900000000E1
5.244133987E2,3.300000000E1
5.244533687E2,3.600000000E1
5.244933184E2,3.700000000E1
5.246142649E2,3.500000000E1
5.246534511E2,2.800000000E1
5.246935007E2,1.900000000E1
5.247334689E2,1.000000000E1
5.247734154E2,4.000000000E0
5.248134292E2,2.000000000E0
5.249334640E2,4.000000000E0
5.249734883E2,8.000000000E0
5.250133572E2,1.200000000E1
5.250533065E2,1.800000000E1
5.250942677E2,2.300000000E1
5.251334207E2,2.700000000E1
5.251733533E2,3.100000000E1
5.252134372E2,3.200000000E1
5.253342093E2,3.100000000E1
5.253733299E2,2.900000000E1
5.254133422E2,2.600000000E1
5.254533261E2,2.200000000E1
5.254934087E2,1.900000000E1
5.255335973E2,1.700000000E1
5.255740172E2,1.400000000E1
5.256135065E2,1.200000000E1
5.256534329E2,1.000000000E1
5.256933784E2,9.000000000E0
5.257335209E2,7.000000000E0
5.257733412E2,6.000000000E0
5.258139871E2,5.000000000E0
5.258533490E2,4.000000000E0
5.258933567E2,3.000000000E0
5.260933289E2,4.000000000E0
5.262135750E2,5.000000000E0
5.263335853E2,6.000000000E0
5.264133461E2,7.000000000E0
5.265339874E2,6.000000000E0
5.265734969E2,4.000000000E0
5.266138824E2,2.000000000E0
5.266538508E2,0.000000000E0
5.268138677E2,4.000000000E0
5.268537717E2,9.000000000E0
5.268937430E2,1.400000000E1
5.269337770E2,1.900000000E1
5.269737794E2,2.300000000E1
5.270147889E2,2.500000000E1
5.270537424E2,2.700000000E1
5.270938637E2,2.900000000E1
5.272543874E2,2.800000000E1
5.272937556E2,2.700000000E1
5.273338585E2,2.400000000E1
5.273739114E2,2.000000000E1
5.274137554E2,1.600000000E1
5.274537403E2,1.200000000E1
5.274943929E2,9.000000000E0
5.275337622E2,8.000000000E0
5.275739305E2,7.000000000E0
5.276137653E2,6.000000000E0
5.276537403E2,4.000000000E0
5.276938745E2,3.000000000E0
5.278138785E2,6.000000000E0
5.278537633E2,1.000000000E1
5.278937741E2,1.600000000E1
5.279337280E2,2.000000000E1
5.279748003E2,2.100000000E1
5.280138310E2,2.200000000E1
5.280538920E2,2.400000000E1
5.280937357E2,2.500000000E1
5.281339191E2,2.600000000E1
5.281737447E2,2.700000000E1
5.282537467E2,3.000000000E1
5.283737253E2,2.900000000E1
5.284137784E2,2.400000000E1
5.284546277E2,1.800000000E1
5.284937698E2,1.100000000E1
5.285339314E2,6.000000000E0
5.285739283E2,4.000000000E0
5.287337567E2,5.000000000E0
5.287737049E2,8.000000000E0
5.288138430E2,1.300000000E1
5.288537578E2,1.700000000E1
5.288937610E2,2.000000000E1
5.289344028E2,2.100000000E1
5.290137255E2,2.200000000E1
5.290937247E2,2.100000000E1
5.291744043E2,1.800000000E1
5.292139831E2,1.400000000E1
5.292537181E2,1.000000000E1
5.292937473E2,7.000000000E0
5.293337702E2,6.000000000E0
5.294147498E2,5.000000000E0
5.294938160E2,6.000000000E0
5.295737342E2,8.000000000E0
5.296137523E2,1.200000000E1
5.296543744E2,1.500000000E1
5.296937609E2,1.900000000E1
5.297737178E2,2.000000000E1
5.298138490E2,2.100000000E1
5.299337105E2,2.400000000E1
5.299737215E2,2.700000000E1
5.300137391E2,3.000000000E1
5.300537535E2,3.200000000E1
5.300938622E2,3.300000000E1
5.302138960E2,3.200000000E1
5.302937573E2,2.900000000E1
5.303337670E2,2.400000000E1
5.303745234E2,1.700000000E1
5.304138473E2,1.000000000E1
5.304537256E2,6.000000000E0
5.305737483E2,9.000000000E0
5.306144203E2,1.200000000E1
5.306537409E2,1.700000000E1
5.306937113E2,2.300000000E1
5.307337184E2,2.600000000E1
5.307737052E2,2.900000000E1
5.308138341E2,3.100000000E1
5.310137424E2,2.900000000E1
5.310539040E2,2.600000000E1
5.310943600E2,2.100000000E1
5.311338394E2,1.700000000E1
5.311737267E2,1.200000000E1
5.312138501E2,8.000000000E0
5.312537292E2,6.000000000E0
5.312938640E2,5.000000000E0
5.314137520E2,6.000000000E0
5.314537126E2,7.000000000E0
5.314938665E2,1.000000000E1
5.315338889E2,1.300000000E1
5.315743990E2,1.600000000E1
5.316137557E2,1.800000000E1
5.316533973E2,2.100000000E1
5.316932674E2,2.500000000E1
5.317334277E2,3.000000000E1
5.317733603E2,3.500000000E1
5.318139379E2,3.900000000E1
5.318534096E2,4.100000000E1
5.318933683E2,4.200000000E1
5.319332480E2,4.300000000E1
5.320541650E2,4.100000000E1
